#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
Asia,"34,204,164","+399,822","470,852","+3,290","29,740,843","+280,566","3,992,469","29,611",Asia
101,Cameroon,"64,809",939,"57,821","6,049",385,"2,394",35,"1,257,949","46,471","27,069,788",Africa,418,"28,828",22
102,Singapore,"60,851",+20,30,"60,503",+18,318,1,"10,336",5,"9,036,706","1,535,009","5,887,072",Asia,97,"196,236",1
103,Afghanistan,"58,038",+140,"2,550",+4,"52,244",+76,"3,244","1,124","1,465",64,"383,857","9,687","39,624,159",Asia,683,"15,539",103
104,Cyprus,"57,081",+822,294,+3,"39,061","17,726",68,"47,004",242,"4,398,877","3,622,332","1,214,377",Asia,21,"4,131",0
105,Namibia,"46,773",+118,604,"44,760",+235,"1,409",34,"18,147",234,"372,188","144,399","2,577,492",Africa,55,"4,267",7
106,Ivory Coast,"45,570",+10,274,"45,161",+32,135,"1,694",10,"573,182","21,311","26,896,212",Africa,590,"98,161",47
107,Botswana,"44,702",+627,684,+13,"39,733",+240,"4,285",1,"18,709",286,"976,728","408,784","2,389,348",Africa,53,"3,493",2
108,Jamaica,"44,136",+246,727,+4,"19,832",+122,"23,577",34,"14,853",245,"316,167","106,400","2,971,497",North America,67,"4,087",9
109,Thailand,"43,742","+1,390",104,+3,"28,787",+37,"14,851",1,625,1,"8,124,896","116,169","69,940,058",Asia,"1,599","672,501",9
110,Uganda,"41,396",+18,339,+1,"40,898",159,24,883,7,"989,628","21,108","46,883,122",Africa,"1,133","138,298",47
111,Senegal,"39,821",+39,"1,091","38,539",+28,191,14,"2,330",64,"465,317","27,222","17,093,562",Africa,429,"15,668",37
112,Zimbabwe,"37,859",+108,"1,553","35,031",+12,"1,275",12,"2,518",103,"402,475","26,769","15,035,202",Africa,397,"9,681",37
113,Malawi,"33,959",+18,"1,139",+1,"31,774",+10,"1,046",15,"1,740",58,"227,636","11,661","19,521,736",Africa,575,"17,139",86
114,Madagascar,"32,798",+593,552,+10,"26,017",+219,"6,229",294,"1,161",20,"168,260","5,955","28,255,258",Africa,861,"51,187",168
115,Sudan,"32,244",+61,"2,281",+8,"26,087",+99,"3,876",722,51,"232,965","5,216","44,661,542",Africa,"1,385","19,580",192
116,Malta,"30,026",+60,409,"29,003",+41,614,"67,858",924,"847,581","1,915,511","442,483",Europe,15,"1,082",1
117,Australia,"29,550",+37,910,"26,450",+15,"2,190","1,148",35,"16,409,724","637,624","25,735,739",Australia/Oceania,871,"28,281",2
118,DRC,"28,956",745,"25,841","2,370",316,8,"145,038","1,581","91,715,270",Africa,"3,167","123,108",632
119,Maldives,"26,505",+157,70,"23,691",+100,"2,744",68,"48,357",128,"689,746","1,258,397","548,115",Asia,21,"7,830",1
120,Angola,"24,518",+129,563,+2,"22,600",+3,"1,355",20,728,17,"445,121","13,218","33,674,756",Africa,"1,373","59,813",76
121,Rwanda,"23,934",+46,326,+1,"22,408",+167,"1,200",6,"1,812",25,"1,260,524","95,445","13,206,798",Africa,552,"40,512",10
122,Mongolia,"22,884",+889,49,+5,"12,401",+524,"10,434",88,"6,892",15,"2,566,410","772,945","3,320,300",Asia,145,"67,761",1
123,Gabon,"22,032",+174,136,+3,"18,706",+199,"3,190",34,"9,717",60,"693,064","305,665","2,267,397",Africa,103,"16,672",3
124,Guinea,"21,612",+73,138,"18,973",+40,"2,501",24,"1,611",10,"420,642","31,356","13,414,971",Africa,621,"97,210",32
125,Syria,"21,279",+137,"1,456",+10,"14,958",+117,"4,865","1,193",82,"103,566","5,806","17,837,821",Asia,838,"12,251",172
126,Cabo Verde,"20,627",+161,193,+1,"18,191",+150,"2,243",23,"36,781",344,"142,081","253,353","560,802",Africa,27,"2,906",4
127,Mayotte,"19,757",168,"2,964","16,625",6,"71,059",604,"165,683","595,905","278,036",Africa,14,"1,655",2
128,French Polynesia,"18,708",+12,141,"4,842","13,725",1,"66,292",500,"26,355","93,390","282,205",Australia/Oceania,15,"2,001",11
129,Réunion,"18,425",135,"16,794","1,496",54,"20,463",150,"100,098","111,169","900,414",Africa,49,"6,670",9
130,Eswatini,"18,417",671,"17,715",+3,31,3,"15,744",574,"178,676","152,748","1,169,744",Africa,64,"1,743",7
131,French Guiana,"18,261",+180,96,+1,"9,995","8,170",13,"59,908",315,"203,343","667,096","304,818",South America,17,"3,175",1
132,Mauritania,"18,142",+13,454,+1,"17,499",+15,189,14,"3,822",96,"221,971","46,765","4,746,505",Africa,262,"10,455",21
133,Somalia,"13,324",+245,678,+8,"5,518",+105,"7,128",820,42,"106,063","6,529","16,244,346",Africa,"1,219","23,959",153
134,Tajikistan,"13,308",90,"13,218",0,"1,371",9,"9,707,670",Asia,729,"107,863"
135,Burkina Faso,"13,148",+19,154,"12,773",+14,221,616,7,"177,277","8,301","21,357,257",Africa,"1,624","138,683",120
136,Mali,"13,145",+75,441,+8,"7,493",+61,"5,211",635,21,"247,184","11,934","20,712,545",Africa,"1,576","46,967",84
137,Haiti,"12,918",251,"11,791",876,"1,122",22,"60,085","5,219","11,513,311",North America,891,"45,870",192
138,Andorra,"12,805",123,"12,203",479,29,"165,516","1,590","193,595","2,502,391","77,364",Europe,6,629,0
139,Guadeloupe,"12,717",176,"2,242","10,299",13,"31,778",440,"164,128","410,136","400,179",North America,31,"2,274",2
140,Belize,"12,558",+20,318,"12,156",+13,84,1,"31,133",788,"111,174","275,615","403,367",North America,32,"1,268",4
141,Togo,"12,553",+20,120,+1,"10,230",+22,"2,203","1,489",14,"300,872","35,679","8,432,660",Africa,672,"70,272",28
142,Curaçao,"11,903",+21,90,+1,"9,457",+180,"2,356",22,"72,302",547,"90,143","547,552","164,629",North America,14,"1,829",2
143,Guyana,"11,901",+38,271,"10,246",+66,"1,384",13,"15,072",343,"108,207","137,043","789,585",South America,66,"2,914",7
144,Hong Kong,"11,696",+12,209,"11,270",217,4,"1,550",28,"11,193,673","1,483,484","7,545,530",Asia,645,"36,103",1
145,Lesotho,"10,720",+11,316,+1,"5,868",+840,"4,536","4,973",147,"73,762","34,216","2,155,805",Africa,201,"6,822",29
146,Djibouti,"10,510",+50,119,+3,"9,385",+213,"1,006","10,516",119,"144,500","144,581","999,440",Africa,95,"8,399",7
147,South Sudan,"10,473",114,"10,215",144,927,10,"143,571","12,707","11,298,337",Africa,"1,079","99,108",79
148,Aruba,"10,345",+21,92,"9,862",+81,391,14,"96,567",859,"141,122","1,317,321","107,128",North America,10,"1,164",1
149,Congo,"10,084",139,"8,208","1,737","1,792",25,"92,500","16,442","5,625,790",Africa,558,"40,473",61
150,Papua New Guinea,"9,952",+214,91,+2,846,"9,015","1,096",10,"70,260","7,736","9,081,734",Australia/Oceania,913,"99,799",129
151,Martinique,"9,890",64,98,"9,728",24,"26,371",171,"140,946","375,824","375,032",North America,38,"5,860",3
152,Bahamas,"9,791",+55,194,"9,059",+28,538,3,"24,710",490,"82,548","208,327","396,242",North America,40,"2,042",5
153,Suriname,"9,581",187,"8,829",565,14,"16,216",317,"47,424","80,267","590,826",South America,62,"3,159",12
154,Trinidad and Tobago,"8,964",+24,154,+1,"7,976",+36,834,8,"6,389",110,"122,300","87,163","1,403,112",North America,157,"9,111",11
155,Benin,"7,611",95,"6,728",788,35,615,8,"575,088","46,472","12,374,833",Africa,"1,626","130,261",22
156,Equatorial Guinea,"7,259",106,"6,885",268,11,"5,043",74,"116,266","80,773","1,439,408",Africa,198,"13,579",12
157,Cambodia,"7,013",+624,45,+2,"2,524",+48,"4,444",415,3,"811,284","47,996","16,903,254",Asia,"2,410","375,628",21
158,Nicaragua,"6,778",180,"4,225","2,373","1,014",27,"6,687,376",North America,987,"37,152"
159,Iceland,"6,329",+43,29,"6,203",+19,97,3,"18,451",85,"572,891","1,670,178","343,012",Europe,54,"11,828",1
160,Yemen,"5,858",+46,"1,132",+6,"2,261",+42,"2,465",23,193,37,"22,934",756,"30,347,426",Asia,"5,181","26,809","1,323"
161,CAR,"5,787",75,"5,112",600,2,"1,182",15,"40,907","8,354","4,896,555",Africa,846,"65,287",120
162,Gambia,"5,720",170,"5,190",360,3,"2,315",69,"60,815","24,617","2,470,427",Africa,432,"14,532",41
163,Niger,"5,131",190,"4,779",162,23,206,8,"95,658","3,842","24,898,067",Africa,"4,852","131,042",260
164,San Marino,"5,030",88,+1,"4,746",196,5,"147,993","2,589","58,362","1,717,135","33,988",Europe,7,386,1
165,Seychelles,"4,976",+54,25,"4,501",+150,450,"50,348",253,"21,504","217,579","98,833",Africa,20,"3,953",5
166,Chad,"4,708",+2,169,"4,353",+11,186,280,10,"110,863","6,599","16,798,980",Africa,"3,568","99,402",152
167,Saint Lucia,"4,419",+18,69,+2,"4,260",+22,90,3,"23,977",374,"38,805","210,556","184,298",North America,42,"2,671",5
168,Gibraltar,"4,291",94,"4,181",16,1,"127,394","2,791","225,457","6,693,495","33,683",Europe,8,358,0
169,Channel Islands,"4,053",86,"3,956",11,1,"23,141",491,"399,901","2,283,296","175,142",Europe,43,"2,037",0
170,Sierra Leone,"4,038",+10,79,"2,851",+2,"1,108",498,10,"119,155","14,700","8,105,847",Africa,"2,007","102,606",68
171,Comoros,"3,819",146,"3,595",78,"4,319",165,"884,310",Africa,232,"6,057"
172,Barbados,"3,784",+3,44,"3,681",+16,59,"13,155",153,"148,929","517,731","287,657",North America,76,"6,538",2
173,Guinea-Bissau,"3,712",66,"3,142",504,9,"1,851",33,"61,814","30,831","2,004,900",Africa,540,"30,377",32
