#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
84,Albania,"130,114",+134,"2,364",+6,"103,582",+516,"24,168",18,"45,253",822,"613,386","213,333","2,875,247",Europe,22,"1,216",5,47,2,"8,406"
85,Algeria,"120,363",+189,"3,181",+9,"83,900",+135,"33,282",19,"2,705",72,"230,861","5,189","44,489,320",Africa,370,"13,986",193,4,0.2,748
86,Estonia,"119,218",+436,"1,120",+11,"105,471",+818,"12,627",58,"89,823",844,"1,249,765","941,614","1,327,259",Europe,11,"1,185",1,328,8,"9,514"
87,S. Korea,"116,661",+735,"1,808",+2,"106,459",+582,"8,394",125,"2,274",35,"8,537,505","166,407","51,304,974",Asia,440,"28,377",6,14,0.04,164
88,Latvia,"113,561",+578,"2,088",+9,"103,230",+634,"8,243",78,"60,753","1,117","2,180,142","1,166,337","1,869,222",Europe,16,895,1,309,5,"4,410"
89,Norway,"109,581",+444,735,+1,"88,952",,"19,894",42,"20,086",135,"5,009,274","918,199","5,455,544",Europe,50,"7,423",1,81,0.2,"3,647"
90,Sri Lanka,"98,722",+672,634,+4,"93,884",+216,"4,204",,"4,595",30,"2,374,627","110,520","21,485,994",Asia,218,"33,890",9,31,0.2,196
91,Cuba,"97,967","+1,207",559,+12,"92,050","+1,016","5,358",70,"8,654",49,"3,450,918","304,824","11,321,006",North America,116,"20,252",3,107,1,473
92,Montenegro,"96,187",+139,"1,451",+7,"91,905",+226,"2,831",69,"153,132","2,310","365,576","582,007","628,130",Europe,7,433,2,221,11,"4,507"
93,Kyrgyzstan,"93,006",+380,"1,566",+5,"87,554",+164,"3,886",25,"14,068",237,"950,899","143,836","6,611,013",Asia,71,"4,222",7,57,0.8,588
94,Ghana,"91,928",+145,777,+5,"89,729",+68,"1,422",9,"2,910",25,"1,055,797","33,416","31,595,178",Africa,344,"40,663",30,5,0.2,45
95,Zambia,"91,189",+70,"1,240",+2,"89,117",+161,832,44,"4,851",66,"1,365,448","72,641","18,797,289",Africa,206,"15,159",14,4,0.1,44
96,Uzbekistan,"87,935",+384,640,,"85,007",+290,"2,288",23,"2,597",19,"1,377,915","40,694","33,860,744",Asia,385,"52,907",25,11,,68
97,Finland,"85,077",+280,902,+3,"46,000",,"38,175",37,"15,336",163,"4,337,925","781,932","5,547,700",Europe,65,"6,150",1,50,0.5,"6,881"
98,Mozambique,"69,523",+86,805,,"62,394",+52,"6,324",43,"2,175",25,"508,573","15,914","31,958,431",Africa,460,"39,700",63,3,,198
99,El Salvador,"68,161",+154,"2,089",+3,"64,208",+134,"1,864",74,"10,466",321,"897,456","137,801","6,512,714",North America,96,"3,118",7,24,0.5,286
100,Luxembourg,"65,813",+209,790,+2,"61,936",+145,"3,087",30,"103,774","1,246","2,598,881","4,097,934","634,193",Europe,10,803,0,330,3,"4,868"
101,Cameroon,"64,809",,939,,"57,821",,"6,049",385,"2,394",35,"1,257,949","46,458","27,077,031",Africa,418,"28,836",22,,,223
102,Singapore,"60,904",+24,30,,"60,603",+27,271,1,"10,344",5,"9,278,789","1,575,995","5,887,574",Asia,97,"196,252",1,4,,46
103,Cyprus,"59,792",+927,296,+1,"39,061",,"20,435",74,"49,233",244,"4,564,235","3,758,202","1,214,473",Asia,20,"4,103",0,763,0.8,"16,826"
104,Afghanistan,"58,542",+196,"2,565",+4,"52,348",+47,"3,629","1,124","1,477",65,"390,541","9,854","39,633,764",Asia,677,"15,452",101,5,0.1,92
105,Thailand,"48,113","+1,470",117,+7,"29,848",+477,"18,148",1,688,2,"8,124,896","116,166","69,941,967",Asia,"1,454","597,795",9,21,0.1,259
106,Namibia,"47,172",+218,616,+7,"45,136",+97,"1,420",37,"18,298",239,"376,317","145,973","2,577,996",Africa,55,"4,185",7,85,3,551
107,Botswana,"45,855","+1,153",691,+7,"41,338","+1,605","3,826",1,"19,187",289,"982,095","410,941","2,389,868",Africa,52,"3,459",2,482,3,"1,601"
108,Ivory Coast,"45,715",+18,277,,"45,283",+56,155,,"1,699",10,"573,182","21,305","26,903,373",Africa,589,"97,124",47,0.7,,6
109,Jamaica,"44,502",+165,751,+7,"20,170",+100,"23,581",26,"14,976",253,"320,168","107,741","2,971,638",North America,67,"3,957",9,56,2,"7,935"
110,Uganda,"41,529",+54,341,,"40,898",,290,24,885,7,"998,791","21,297","46,898,986",Africa,"1,129","137,534",47,1,,6
111,Senegal,"39,975",+65,"1,097",+1,"38,719",+51,159,9,"2,338",64,"469,269","27,445","17,098,401",Africa,428,"15,587",36,4,0.06,9
112,Zimbabwe,"38,018",+38,"1,555",,"35,073",+8,"1,390",12,"2,528",103,"404,405","26,893","15,037,568",Africa,396,"9,670",37,3,,92
113,Madagascar,"34,069",+477,579,+10,"27,152",+542,"6,338",336,"1,205",20,"172,240","6,094","28,263,063",Africa,830,"48,814",164,17,0.4,224
114,Malawi,"33,989",+14,"1,145",+3,"31,864",+12,980,15,"1,741",59,"228,966","11,726","19,527,156",Africa,575,"17,054",85,0.7,0.2,50
115,Sudan,"32,695",+84,"2,300",+11,"26,411",+87,"3,984",,732,51,"232,965","5,215","44,672,760",Africa,"1,366","19,423",192,2,0.2,89
116,Malta,"30,096",+33,411,,"29,166",+36,519,,"68,014",929,"853,286","1,928,347","442,496",Europe,15,"1,077",1,75,,"1,173"
117,Australia,"29,588",+14,910,,"26,458",+4,"2,220",,"1,150",35,"16,481,110","640,317","25,738,971",Australia/Oceania,870,"28,285",2,0.5,,86
118,DRC,"29,350",+117,752,+4,"26,135",+27,"2,463",,320,8,"145,994","1,591","91,745,162",Africa,"3,126","122,002",628,1,0.04,27
119,Maldives,"27,084",+164,71,,"24,065",+130,"2,948",90,"49,404",130,"698,905","1,274,865","548,219",Asia,20,"7,721",1,299,,"5,377"
