#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
Asia,"34,650,551","+446,048","474,557","+3,700","30,052,814","+311,994","4,123,180","29,745",Asia
138,Andorra,"12,874",+69,123,"12,285",+82,466,29,"166,408","1,590","193,595","2,502,391","77,364",Europe,6,629,0
139,Guadeloupe,"12,717",176,"2,242","10,299",13,"31,778",440,"164,128","410,136","400,179",North America,31,"2,274",2
140,Togo,"12,610",+57,121,+1,"10,350",+120,"2,139","1,495",14,"301,831","35,791","8,433,191",Africa,669,"69,696",28
141,Belize,"12,568",+10,318,"12,161",+5,89,1,"31,156",788,"111,668","276,826","403,387",North America,32,"1,269",4
142,Guyana,"11,972",+71,273,+2,"10,297",+51,"1,402",13,"15,162",346,"108,883","137,897","789,595",South America,66,"2,892",7
143,Curaçao,"11,934",+31,94,+4,"9,572",+115,"2,268",22,"72,489",571,"90,143","547,546","164,631",North America,14,"1,751",2
144,Hong Kong,"11,704",+8,209,"11,287",+13,208,3,"1,551",28,"11,193,673","1,483,451","7,545,696",Asia,645,"36,104",1
145,Lesotho,"10,720",316,"5,868","4,536","4,973",147,"73,762","34,215","2,155,852",Africa,201,"6,822",29
146,Martinique,"10,611",+721,68,+4,98,"10,445",24,"28,294",181,"149,454","398,511","375,031",North America,35,"5,515",3
147,Djibouti,"10,557",+47,123,+4,"9,607",+222,827,"10,563",123,"144,891","144,967","999,479",Africa,95,"8,126",7
148,South Sudan,"10,478",+3,114,"10,215",149,927,10,"144,419","12,782","11,298,696",Africa,"1,078","99,111",78
149,Aruba,"10,399",+54,94,+2,"9,932",+70,373,14,"97,069",877,"141,669","1,322,403","107,130",North America,10,"1,140",1
150,Congo,"10,084",139,"8,208","1,737","1,792",25,"92,500","16,441","5,626,162",Africa,558,"40,476",61
151,Papua New Guinea,"9,952",91,"7,364","+6,518","2,497","1,096",10,"73,276","8,068","9,082,198",Australia/Oceania,913,"99,804",124
152,Bahamas,"9,791",194,"9,059",538,3,"24,709",490,"82,548","208,322","396,252",North America,40,"2,043",5
153,Suriname,"9,687",+70,188,"8,900",+38,599,19,"16,395",318,"47,668","80,678","590,841",South America,61,"3,143",12
154,Trinidad and Tobago,"9,135",+171,157,+3,"7,996",+20,982,8,"6,510",112,"122,901","87,591","1,403,124",North America,154,"8,937",11
155,Benin,"7,720",+109,97,+2,"7,510",+782,113,35,624,8,"581,843","47,015","12,375,703",Africa,"1,603","127,585",21
156,Equatorial Guinea,"7,505",+82,106,"7,016",+131,383,11,"5,213",74,"116,266","80,766","1,439,535",Africa,192,"13,581",12
157,Cambodia,"7,444",+431,49,+4,"2,555",+31,"4,840",440,3,"811,284","47,994","16,903,887",Asia,"2,271","344,977",21
158,Nicaragua,"6,835",+57,181,+1,"4,225","2,429","1,022",27,"6,687,591",North America,978,"36,948"
159,Iceland,"6,350",+21,29,"6,208",+5,113,3,"18,512",85,"577,345","1,683,133","343,018",Europe,54,"11,828",1
160,CAR,"5,929",+142,79,+4,"5,112",738,2,"1,211",16,"40,907","8,354","4,896,784",Africa,826,"61,985",120
161,Yemen,"5,918",+60,"1,138",+6,"2,281",+20,"2,499",23,195,37,"22,934",756,"30,349,225",Asia,"5,128","26,669","1,323"
162,Gambia,"5,784",+64,170,"5,225",+35,389,3,"2,341",69,"61,900","25,055","2,470,613",Africa,427,"14,533",40
163,Niger,"5,140",+3,191,+1,"4,795",+16,154,23,206,8,"96,087","3,859","24,900,476",Africa,"4,844","130,369",259
164,San Marino,"5,041",+9,88,"4,757",+9,196,5,"148,317","2,589","58,537","1,722,284","33,988",Europe,7,386,1
165,Seychelles,"5,012",+36,25,"4,535",+34,452,"50,711",253,"21,504","217,575","98,835",Africa,20,"3,953",5
166,Chad,"4,723",+15,169,"4,353",201,281,10,"110,863","6,599","16,800,273",Africa,"3,557","99,410",152
167,Saint Lucia,"4,419",69,"4,265",+5,85,1,"23,977",374,"38,924","211,199","184,300",North America,42,"2,671",5
168,Gibraltar,"4,291",94,"4,181",16,1,"127,394","2,791","226,510","6,724,757","33,683",Europe,8,358,0
169,Channel Islands,"4,053",86,"3,956",11,1,"23,141",491,"399,901","2,283,244","175,146",Europe,43,"2,037",0
170,Sierra Leone,"4,041",+3,79,"2,857",+6,"1,105",499,10,"119,155","14,699","8,106,291",Africa,"2,006","102,611",68
171,Comoros,"3,820",+1,146,"3,626",+31,48,"4,320",165,"884,361",Africa,232,"6,057"
172,Barbados,"3,793",+9,44,"3,692",+11,57,"13,186",153,"149,423","519,449","287,657",North America,76,"6,538",2
173,Guinea-Bissau,"3,713",+1,66,"3,170",+28,477,9,"1,852",33,"62,111","30,978","2,005,027",Africa,540,"30,379",32
174,Burundi,"3,643",+31,6,773,"2,864",299,0.5,"90,019","7,396","12,171,968",Africa,"3,341","2,028,661",135
175,Eritrea,"3,548",+11,10,"3,341",+7,197,990,3,"23,693","6,608","3,585,649",Africa,"1,011","358,565",151
176,Liechtenstein,"2,836",+13,56,"2,698",+5,82,6,"74,210","1,465","32,252","843,940","38,216",Europe,13,682,1
177,Vietnam,"2,800",+9,35,"2,490",+15,275,29,0.4,"2,598,753","26,507","98,039,824",Asia,"35,014","2,801,138",38
178,New Zealand,"2,597",+1,26,"2,485",+17,86,519,5,"1,978,011","395,436","5,002,100",Australia/Oceania,"1,926","192,388",3
179,Monaco,"2,413",+9,31,"2,306",+2,76,4,"61,143",786,"51,953","1,316,432","39,465",Europe,16,"1,273",1
